chain,domain,window_id,block_number,block_time_utc,min_finality_threshold,class,amount_usdc,tx_hash
Arbitrum One,3,1,477169317,2026-06-25T10:48:58Z,1000,Fast,810.800000,0xe9759f057274195766aaa94991a903729c9f9e413892d47f5248b8cfcca2eb0f
Arbitrum One,3,1,477169329,2026-06-25T10:49:01Z,1000,Fast,300.000000,0x6443a4dcfb03948fc8e9c0fcac5cd40421571a00e3abbe205ae855713fa47407
Arbitrum One,3,1,477169371,2026-06-25T10:49:11Z,2000,Standard,62295.032742,0xadf7ea11979a5520151785b0e05f0b900a72e1abfd62b044c6741f0e4bcac4f6
Arbitrum One,3,1,477169413,2026-06-25T10:49:22Z,1000,Fast,1813.120000,0x0b73fe9867cfb46744f436d86c5a64991ac103705e1c310d97bb54f567378923
Arbitrum One,3,1,477169427,2026-06-25T10:49:25Z,1000,Fast,168.360000,0x03468582844bbdc69a047c3f84c50bf2f014036f11d292f5ae8e24f0145366b5
Arbitrum One,3,1,477169546,2026-06-25T10:49:55Z,1000,Fast,1450.000000,0xd9fc20c88e1df5e31550d034ca5ec680a780238a0009ce616e17ce0bca23ecf5
Arbitrum One,3,1,477169602,2026-06-25T10:50:09Z,2000,Standard,751.324909,0xd0fe252c3f79d8b797925c09fa847c4fdb10b393370dc8bab89de85e1f2780eb
Arbitrum One,3,1,477169623,2026-06-25T10:50:14Z,1000,Fast,1000.000000,0xaca6932d64d76033a503b14813f76d5ba042fcd42d85a300dc0aa27d07607a1e
Arbitrum One,3,1,477169899,2026-06-25T10:51:23Z,2000,Standard,227.499023,0x469c096c3aa266a76794c4b81b203fc5470278f3eeb93fdebbaa3fc4197bdfb6
Arbitrum One,3,1,477170005,2026-06-25T10:51:50Z,1000,Fast,596.900000,0x0fe700748eb88b829d4a356e5fe9315294646775180106506d6d9ae54fce3b7e
Arbitrum One,3,1,477170061,2026-06-25T10:52:03Z,1000,Fast,200000.000000,0x9f983699ecf465c3191914ecc0389ff273b6ca913f3ca8f3d0ff9a4653771c9a
Arbitrum One,3,1,477170173,2026-06-25T10:52:31Z,1000,Fast,340.000000,0x6eacbaeb5da1c44863054f2cd4c3c72c0f4e7c379c51418be0b5c4babd00465e
Arbitrum One,3,1,477170182,2026-06-25T10:52:34Z,1000,Fast,70.390000,0xa0ae1f80ac18418b6ed34a3391c71c15ca4bb886f559259a4ac648d40387e9b5
Arbitrum One,3,1,477170297,2026-06-25T10:53:02Z,2000,Standard,149474.498207,0x6f05f4710e0d240c31aaf369d6adbaf4decf62cf1164b6614388c25247b1852b
Arbitrum One,3,1,477170468,2026-06-25T10:53:45Z,1000,Fast,1308.150000,0xdd225143baa3f7d9f82f578f1691470efb7803195ef8dd2b9082ad4df1498ddd
Arbitrum One,3,1,477170520,2026-06-25T10:53:58Z,1000,Fast,17886.370000,0xf1da0811dbb904a231307d4ecfba65de37df1d36c0bb74f39a2724021d8ebb16
Arbitrum One,3,1,477170599,2026-06-25T10:54:18Z,1000,Fast,50.000000,0x552036b105ad2fd245da5e8c1a56a0a5597cce0eb410f042f79d31319b265a69
Arbitrum One,3,1,477170704,2026-06-25T10:54:44Z,1000,Fast,179981.990000,0xd73a52e77aaa67daf938ed96f76c15f93ea1d4b7feb795a05e42a0b3b6259d44
Arbitrum One,3,1,477170790,2026-06-25T10:55:06Z,1000,Fast,4993.270000,0x347d6803fdb5be63f6bd4140f018cdf1f31142157342d6e539f163a68503df3f
Arbitrum One,3,1,477170904,2026-06-25T10:55:34Z,1,Fast,1313.588628,0x8fcb2acef0858e01bc2dd929add87f1365b39f10e253f7ecb53b914d0d39e15a
Arbitrum One,3,1,477170990,2026-06-25T10:55:56Z,1000,Fast,500.000000,0x05054f4aa17ff513bfba8eaa1ce374f5151580d14e6d8326e6319390f35ea3aa
Arbitrum One,3,1,477171009,2026-06-25T10:56:00Z,1000,Fast,1999.800000,0xf93b6a7926d781cfbfa2f21d3ec9b0e666d90d1cf17d2f18a07b74a1e131a0eb
Arbitrum One,3,1,477171068,2026-06-25T10:56:15Z,1000,Fast,645.030000,0x4ac224762f8554ebb921f3401cf1376c4319d255b3213f5fe713f219cb715af6
Arbitrum One,3,1,477171135,2026-06-25T10:56:32Z,1000,Fast,1000.000000,0x46cfed293dfc2590c2bae40505c52bb903c028c9c7b61a73f1e5a56bd84b62d5
Arbitrum One,3,1,477171207,2026-06-25T10:56:50Z,1000,Fast,3395.860000,0x9d2cb96c67e0d163d24e9f0fa14d702f8d52aa28336c136bbf4a38aa063068ea
Arbitrum One,3,1,477171240,2026-06-25T10:56:58Z,1000,Fast,3998.000000,0x7e222193afad084a8296b68a12cfc0686494b83a6030cbed92317a25d330d603
Arbitrum One,3,1,477171365,2026-06-25T10:57:29Z,2000,Standard,559.000863,0xadc01df879736a54ff8e1b003748bd83f15703cb66ebe7f096595cf3f129abc8
Arbitrum One,3,1,477171662,2026-06-25T10:58:43Z,1000,Fast,5000.000000,0x85fb342e6dad045d62cc6e6a1917b106a86a82962338de7f621a8746cba98c33
Arbitrum One,3,1,477171762,2026-06-25T10:59:08Z,2000,Standard,2497.350000,0x5155f4f74502e176e9d0f3277a34b0d61c023221622cc4511e2e0cf6fb58fd84
Arbitrum One,3,1,477171769,2026-06-25T10:59:10Z,1000,Fast,73002.090000,0xe32ef348e56fa7356111ff6db70cbe8680dad6d106cd44a3e7909d77cdc3fd9c
Arbitrum One,3,1,477171851,2026-06-25T10:59:31Z,1000,Fast,97.160000,0x2696dd3bd485b10cceda1bdb96781119fcc7ce46c901c5a6b09963306dcafb11
