analysis,experiment_id,direction,group,role,rel_offset,chain,block_number,block_ts,gas_used,gas_limit,gas_ratio,tx_count,base_fee_gwei,a2m_ms,iris_wait_ms,err
probe1,19,deposit,slow,mint,0,hevm,37020270,1780668604,1290436,3000000,0.4301453333333333,8,21.410822253,79629,8371,
probe1,19,deposit,slow,mint,1,hevm,37020271,1780668605,521699,3000000,0.17389966666666667,2,21.036910791,79629,8371,
probe1,19,deposit,slow,mint,2,hevm,37020272,1780668606,609186,3000000,0.203062,4,19.321874886,79629,8371,
probe1,19,deposit,slow,mint,3,hevm,37020273,1780668607,2020785,3000000,0.673595,11,17.887525165,79629,8371,
probe1,19,deposit,slow,mint,4,hevm,37020274,1780668608,2392930,3000000,0.7976433333333334,12,18.663821397,79629,8371,
probe1,19,deposit,slow,mint,5,hevm,37020275,1780668609,1633287,3000000,0.544429,6,20.0526119,79629,8371,
probe1,19,deposit,slow,mint,-1,hevm,37020269,1780668603,444318,3000000,0.148106,7,23.47609664,79629,8371,
probe1,19,deposit,slow,mint,-2,hevm,37020268,1780668602,110886,3000000,0.036962,2,26.549447395,79629,8371,
probe1,19,deposit,slow,mint,-3,hevm,37020267,1780668601,1439824,3000000,0.47994133333333333,7,26.683255024,79629,8371,
probe1,19,deposit,slow,mint,-4,hevm,37020266,1780668600,228324,30000000,0.0076108,3,0.1,79629,8371,
probe1,19,deposit,slow,mint,-5,hevm,37020265,1780668600,1210027,3000000,0.40334233333333336,11,27.344007002,79629,8371,
probe1,19,deposit,slow,mint,-6,hevm,37020264,1780668599,1068780,3000000,0.35626,10,28.363240032,79629,8371,
probe1,19,deposit,slow,mint,-7,hevm,37020263,1780668598,520191,3000000,0.173397,6,30.88502553,79629,8371,
probe1,19,deposit,slow,mint,-8,hevm,37020262,1780668597,2127812,3000000,0.7092706666666667,2,29.349526772,79629,8371,
probe1,19,deposit,slow,mint,-9,hevm,37020261,1780668596,955483,3000000,0.3184943333333333,5,30.744606863,79629,8371,
probe1,19,deposit,slow,mint,-10,hevm,37020260,1780668595,452943,3000000,0.150981,5,33.683666787,79629,8371,
probe1,19,deposit,slow,mint,-11,hevm,37020259,1780668594,709095,3000000,0.236365,4,36.060360041,79629,8371,
probe1,19,deposit,slow,mint,-12,hevm,37020258,1780668593,664912,3000000,0.22163733333333333,2,38.757521822,79629,8371,
probe1,19,deposit,slow,mint,-13,hevm,37020257,1780668592,1932484,3000000,0.6441613333333334,20,37.40927894,79629,8371,
probe1,19,deposit,slow,mint,-14,hevm,37020256,1780668591,0,3000000,0.0,0,42.753461645,79629,8371,
probe1,19,deposit,slow,mint,-15,hevm,37020255,1780668590,1056419,3000000,0.3521396666666667,8,44.394508345,79629,8371,
probe1,19,deposit,slow,mint,-16,hevm,37020254,1780668589,219479,3000000,0.07315966666666666,5,49.69776051,79629,8371,
probe1,19,deposit,slow,mint,-17,hevm,37020253,1780668588,271356,3000000,0.090452,1,55.366578369,79629,8371,
probe1,19,deposit,slow,mint,-18,hevm,37020252,1780668587,521175,3000000,0.173725,9,60.283857249,79629,8371,
probe1,19,deposit,slow,mint,-19,hevm,37020251,1780668586,2808496,3000000,0.9361653333333333,6,54.356727236,79629,8371,
probe1,19,deposit,slow,mint,-20,hevm,37020250,1780668585,1861619,3000000,0.6205396666666667,20,52.766609846,79629,8371,
probe1,19,deposit,slow,mint,-21,hevm,37020249,1780668584,491470,3000000,0.16382333333333332,11,57.608246954,79629,8371,
probe1,19,deposit,slow,mint,-22,hevm,37020248,1780668583,370010,3000000,0.12333666666666666,4,63.596902251,79629,8371,
probe1,19,deposit,slow,mint,-23,hevm,37020247,1780668582,1322300,3000000,0.44076666666666664,13,64.552821956,79629,8371,
probe1,19,deposit,slow,mint,-24,hevm,37020246,1780668581,961313,3000000,0.3204376666666667,11,67.586834376,79629,8371,
probe1,19,deposit,slow,mint,-25,hevm,37020245,1780668580,494928,3000000,0.164976,1,73.765104465,79629,8371,
probe1,19,deposit,slow,mint,-26,hevm,37020244,1780668579,137943,3000000,0.045981,2,83.209813549,79629,8371,
probe1,19,deposit,slow,mint,-27,hevm,37020243,1780668578,2741672,3000000,0.9138906666666666,8,75.407226715,79629,8371,
probe1,19,deposit,slow,mint,-28,hevm,37020242,1780668577,1513078,3000000,0.5043593333333334,3,75.325134873,79629,8371,
probe1,19,deposit,slow,mint,-29,hevm,37020241,1780668576,339344,3000000,0.11311466666666667,2,83.39080469,79629,8371,
probe1,19,deposit,slow,mint,-30,hevm,37020240,1780668575,1220391,3000000,0.406797,2,85.380228038,79629,8371,
probe1,19,deposit,slow,mint,-31,hevm,37020239,1780668574,2607629,3000000,0.8692096666666667,11,78.165375024,79629,8371,
probe1,19,deposit,slow,mint,-32,hevm,37020238,1780668573,319763,3000000,0.10658766666666666,2,86.691778765,79629,8371,
probe1,19,deposit,slow,mint,-33,hevm,37020237,1780668572,1099482,3000000,0.366494,6,89.685155352,79629,8371,
probe1,19,deposit,slow,mint,-34,hevm,37020236,1780668571,1494148,3000000,0.49804933333333334,11,89.728913151,79629,8371,
probe1,19,deposit,slow,mint,-35,hevm,37020235,1780668570,2461279,3000000,0.8204263333333334,14,83.07412855,79629,8371,
probe1,19,deposit,slow,mint,-36,hevm,37020234,1780668569,1763904,3000000,0.587968,12,81.286476362,79629,8371,
probe1,19,deposit,slow,mint,-37,hevm,37020233,1780668568,1137062,3000000,0.3790206666666667,6,83.821648139,79629,8371,
probe1,19,deposit,slow,mint,-38,hevm,37020232,1780668567,2620202,3000000,0.8734006666666667,9,76.664961231,79629,8371,
probe1,19,deposit,slow,mint,-39,hevm,37020231,1780668566,2094049,3000000,0.6980163333333333,11,73.048749832,79629,8371,
probe1,19,deposit,slow,mint,-40,hevm,37020230,1780668565,2879151,3000000,0.959717,16,65.518731195,79629,8371,
probe1,19,deposit,slow,mint,-41,hevm,37020229,1780668564,2794245,3000000,0.931415,19,59.140235068,79629,8371,
probe1,19,deposit,slow,mint,-42,hevm,37020228,1780668563,2996324,3000000,0.9987746666666667,16,52.583416108,79629,8371,
probe1,19,deposit,slow,mint,-43,hevm,37020227,1780668562,2867026,3000000,0.9556753333333333,18,47.205787832,79629,8371,
probe1,19,deposit,slow,mint,-44,hevm,37020226,1780668561,2859196,3000000,0.9530653333333333,28,42.402960028,79629,8371,
probe1,19,deposit,slow,mint,-45,hevm,37020225,1780668560,1940463,3000000,0.646821,23,40.901654572,79629,8371,
probe1,19,deposit,slow,mint,-46,hevm,37020224,1780668559,806631,3000000,0.268877,8,43.409911835,79629,8371,
probe1,19,deposit,slow,mint,-47,hevm,37020223,1780668558,1521716,3000000,0.5072386666666666,15,43.331496271,79629,8371,
probe1,19,deposit,slow,mint,-48,hevm,37020222,1780668557,1152734,3000000,0.3842446666666667,10,44.622828878,79629,8371,
probe1,19,deposit,slow,mint,-49,hevm,37020221,1780668556,671383,3000000,0.22379433333333335,5,47.932645988,79629,8371,
probe1,19,deposit,slow,mint,-50,hevm,37020220,1780668555,2453701,3000000,0.8179003333333333,9,44.403661306,79629,8371,
probe1,19,deposit,slow,mint,-51,hevm,37020219,1780668554,2837398,3000000,0.9457993333333333,22,39.951116078,79629,8371,
probe1,19,deposit,slow,mint,-52,hevm,37020218,1780668553,2948581,3000000,0.9828603333333333,19,35.647879352,79629,8371,
probe1,19,deposit,slow,mint,-53,hevm,37020217,1780668552,2490161,3000000,0.8300536666666667,25,32.930658229,79629,8371,
