experiment_id,direction,amount_usdc(usdc),cctp_nonce,message_hash,t1_arb_burn_block_ts(ms),t1_arb_burn_block_number,arb_burn_tx_hash,t2_iris_attestation_complete(ms),t2_iris_complete_local(ms),t2_5_hevm_mint_block_ts(ms),t2_5_hevm_mint_block_number,hevm_mint_tx_hash,t3_hc_credit_ledger_time(ms),minFinalityThreshold_set,finalityThresholdExecuted,forward_state,maxFee(usdc_atomic),feeExecuted(usdc_atomic),arb_gas_used(gas),arb_gas_price(wei),arb_tx_fee(eth),t0_local_send(ns),rtt_offset(ms),arb_confirmations_at_attestation(blocks),iris_wait(ms),attestation_to_mint(ms),credit_wait(ms),src_inclusion(ms),E2E_dep_onchain(ms),E2E_dep_wallclock(ms),group,arb_burn_l1_block,arb_burn_l1_block_ts(ms),burn_rt_l1_block,burn_l1_lag_blocks,att_l2_block,att_l1_block,att_l1_block_ts(ms),dL1_blocks,dL1_seconds(ms),t2_l1_block,t2_l1_block_ts(ms),dL1_blocks_byT2,dL1_realblocks_byT2,t2_phase_in_l1(ms),l1_enrich_err
1,deposit,5.0,0xd6b33524f5cb24e4daf10dd6b348661db8be20c06728d5893c54423f237cdc8b,0x7025ef0fd3df8685363282e63cdd63aa7c478f4ab6f6e145da8db97afdce0db9,1780377727000,469169954,0x1a7c90c93cfb7c19071181ea630e4e85b64ca9c76e42ec96f4c669212f641dab,1780377731180,1780377731180,1780377733000,36724551,0xa82fb07e2e613609328ffa14108102afc4a8800a1746611cd1e40829ccfa5ae6,1780377733040,1000,1000,PENDING,242739,242739,112421,20002000,0.000002248644842000,1780377726908243980,91.756,13,4180,1820,40,6000,6040,6131.756,fast,25227576,1780377719000,25227576,0,469169967,25227576,1780377719000,0,0,25227577,1780377731000,1,1,180,
2,deposit,5.0,0x7fc526184e82ef4f6996c3115284c79f68c6fa1b0e9e74c48e649eed76b9d55e,0x30a738cd20a8215f523e1ed3850d98d0c9e70be91574ef9b5ad6720c08566310,1780631760000,470186616,0xa7b1b16bb798a11264730994750808423d6f00732400049021b4d9a617308a9b,1780631764141,1780631764141,1780631766000,36982818,0xb266e77c78f0b248964c9cdf8bf2fc58e329c9b75bcea8dde00d456cacb9e1b8,1780631766015,1000,1000,PENDING,237677,237677,113046,20192000,0.000002282624832000,1780631759598552370,401.448,12,4141,1859,15,6000,6015,6416.448,fast,25248633,1780631747000,25248634,1,470186628,25248633,1780631747000,0,0,25248634,1780631759000,1,0,5141,
3,deposit,5.0,0xda1660b10dc8f121cd3e193797cfd81e9f8d41ce673fb9db30c4411a42d03c69,0xdb46a2b0fb77dd4db26dd62fadb3e958ab2713bc3b0c083bee7635d1f77b6923,1780634077000,470195903,0x1de88481951af5fe390e6eedf4d66f0c7ec77727c1991ff255e75dfe60888fcc,1780634084659,1780634084000,1780634084000,36985174,0x21c89e666620cbe9e980e816ca902079d345a5b3e79909ff50f2cbddbbd3ef63,1780634084042,1000,1000,PENDING,237716,237716,113134,20000000,0.000002262680000000,1780634076900914847,99.085,27,7000,0,42,7000,7042,7141.085,slow,25248825,1780634063000,25248826,1,470195930,25248826,1780634075000,1,12000,25248826,1780634075000,1,0,9659,
4,deposit,5.0,0x6584558cb27e3d155c681c57bb246613d7f6c00820be925f49f56d16b87fd0d6,0x2073a83021fd5113b8ae2016656a35a5e9a20f75e599dc3f04886bad35b10e1a,1780634901000,470199195,0xb66c420f1a857576d2ebf92bf847efd583ff683dde29df5fb48f6d687b2e7b55,1780634905947,1780634905947,1780634910000,36986014,0xf3e151df54d3eca7001a89dd681e8ac2590fa4a462949742033b59e2a5a780fb,1780634910069,1000,1000,SENT,240742,240742,113126,20002000,0.000002262746252000,1780634901222144147,-222.144,15,4947,4053,69,9000,9069,8846.856,fast,25248893,1780634879000,25248894,1,470199210,25248893,1780634879000,0,0,25248895,1780634903000,2,1,2947,
5,deposit,5.0,0x3905f6b5b3dcf771c5f6c08ecdc659254f233eefccefc612f72e9945ee48c4c7,0x349eb5f825582119b57b6ffbe605f19039df96ce2775677d5791c7eb48fa0fe0,1780635747000,470202575,0x9e5fd532090f8446f531619a49430a9d02cd0014fdd0b98842c3e455a42ff634,1780635755952,1780635755952,1780635758000,36986876,0x31e6029a5a907f50500a599fb0f7de358aa23c762e967c55a4f3826ee94cebd5,1780635758037,1000,1000,PENDING,1577607,1577607,112921,20004000,0.000002258871684000,1780635747181073757,-181.074,31,8952,2048,37,11000,11037,10855.926,slow,25248963,1780635719000,25248965,2,470202606,25248965,1780635743000,2,24000,25248966,1780635755000,3,1,952,
6,deposit,5.0,0x43ea81699f3b12c9cb409441224e5eb9e36301040fa811ce90cec53d44d6dc93,0x13132ffe726bca828c63065db3bd7ed520e6710b603a602d04e416ef915b5c4c,1780636500000,470205592,0x614382f4f3c5341505e924cffb9402a4ac336a610bd1350caba9176af6c6b11c,1780636504110,1780636504110,1780636506000,36987637,0x7e0fa8c859c6733be027eb23d22762d213588ebad3faae68418350e1ac77a8ab,1780636506027,1000,1000,PENDING,237764,237764,113288,20000000,0.000002265760000000,1780636500012820998,-12.821,12,4110,1890,27,6000,6027,6014.179,fast,25249027,1780636487000,25249028,1,470205604,25249027,1780636487000,0,0,25249028,1780636499000,1,0,5110,
7,deposit,5.0,0x0b4565d0cf3c01f938b107ca8979be36a1e9f9a90b626b205ac62ce0e6ec11e4,0x1e85790e346c0485298f2f054446e192b000010f732fad67fe9671da408bf045,1780638658000,470214240,0xd36575000e2f28ef2916c45adb179430855681da40b48d11d4e4dcfe360d31b3,1780638661206,1780638661206,1780638664000,36989831,0x373a6c4220f7401a4ece5b18f9c6efe441a1707423a24c447e97cad9ed73eb44,1780638664009,1000,1000,PENDING,274582,274582,113483,20162000,0.000002288044246000,1780638657753246799,246.753,10,3206,2794,9,6000,6009,6255.753,fast,25249205,1780638635000,25249206,1,470214250,25249206,1780638647000,1,12000,25249207,1780638659000,2,1,2206,
8,deposit,5.0,0xba82020908cddac616d574de69d65eb587eb1fff8b12e80d8039fc492a6c21cb,0xa6478930d6718093be46778bbe2b2e31eff4c94159081ce1a492980de7a186ce,1780640833000,470222975,0xb7fb3eea836eac00253b5921c00bd86b77a0bf7cecdf6cd43397894ec13d08a4,1780640843598,1780640843000,1780640843000,36992046,0x64c47a85c8b914b12a493bd8810ddf2fa7dc9d6e85949e8ed11d015e4387c765,1780640843084,1000,1000,PENDING,290994,290994,125208,23324000,0.000002920351392000,1780640832832017796,167.982,38,10000,0,84,10000,10084,10251.982,slow,25249384,1780640807000,25249386,2,470223013,25249385,1780640819000,1,12000,25249387,1780640843000,3,1,598,
9,deposit,5.0,0xf1786d3a6fd79a617bdd48d9d397648c561e583acd24f6bcfcf4c7a33aad5dbe,0x17853d2356398f5ad13331b36232d4d7946f08d0c1b0a0d2a16e929ac8493359,1780642037000,470227838,0x6bd0696abecc0defea4b4abdc0f0859ba65470f214f02358914d83d19ff7213c,1780642041570,1780642041570,1780642044000,36993267,0xc94d6bf062796c44d1755f89ba6c4ab48188f47072cc382829d95fffcb5f4d8a,1780642044019,1000,1000,COMPLETE,265424,265424,117962,20538000,0.000002422703556000,1780642037618210974,-618.211,11,4570,2430,19,7000,7019,6400.789,fast,25249485,1780642019000,25249486,1,470227849,25249485,1780642019000,0,0,25249486,1780642031000,1,0,10570,
10,deposit,5.0,0x904a510c95fa2bfbbff266cef90c6b91b79666e8296cf43c2d9ad42944b1700d,0xbd97590a2362c1425446775eb37ca77c50f0d15ac7f87ed47ebc9fc3098cc903,1780643869000,470235186,0x242c3f4aaeeedc8c5a46691650d2d160432f0915fc078c4c4d7c694244070130,1780643873149,1780643873149,1780643875000,36995128,0xc59304a0439fc3dd0b79487089c4c45d3ad2910669090b8e9e2032a3e28d2a36,1780643875023,1000,1000,PENDING,320453,320453,111593,20270000,0.000002261990110000,1780643869376963900,-376.964,11,4149,1851,23,6000,6023,5646.036,fast,25249637,1780643855000,25249638,1,470235197,25249637,1780643855000,0,0,25249638,1780643867000,1,0,6149,
