direction,experiment_id,group,t_burn_ms,t_usable_ms,t_safe_ms,t_hard_lb_ms,t_hard_epoch_ms,L_ms,tau_F_lb_ms,G_lb_ms,G_epoch_ms,safe_l1_block,safe_lag_s,method,err
deposit,1,fast,1780377727000,1780377733000,1780377743000,1780378511000,1780378199000,6000,784000,778000,466000,25227578,16,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,2,fast,1780631760000,1780631766000,1780631771000,1780632539000,1780632407000,6000,779000,773000,641000,25248635,11,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,3,slow,1780634077000,1780634084000,1780634123000,1780634891000,1780634711000,7000,814000,807000,627000,25248830,46,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,4,fast,1780634901000,1780634910000,1780634999000,1780635767000,1780635479000,9000,866000,857000,569000,25248903,98,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,5,slow,1780635747000,1780635758000,1780635767000,1780636535000,1780636247000,11000,788000,777000,489000,25248967,20,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,6,fast,1780636500000,1780636506000,1780636571000,1780637339000,1780637015000,6000,839000,833000,509000,25249034,71,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,7,fast,1780638658000,1780638664000,1780638719000,1780639487000,1780639319000,6000,829000,823000,655000,25249212,61,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,8,slow,1780640833000,1780640843000,1780640855000,1780641623000,1780641623000,10000,790000,780000,780000,25249388,22,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,9,fast,1780642037000,1780642044000,1780642043000,1780642811000,1780642775000,7000,774000,767000,731000,25249487,6,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,10,fast,1780643869000,1780643875000,1780643891000,1780644659000,1780644311000,6000,790000,784000,436000,25249640,22,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
deposit,11,slow,1780645924000,1780645935000,1780645931000,1780646699000,1780646615000,11000,775000,764000,680000,25249809,7,t_safe=first SequencerBatchDelivered>=burn_rt_l1; t_hard_lb=t_safe+2epoch(768s),
