block,lambda,c,rho,Wq_mean_s,Wq_lo_s,Wq_hi_s,Lq_mean,Lq_lo,Lq_hi
a_real_arb,0.05039,1,0.2703,1.19583,1.18826,1.20121,0.06026,0.05988,0.06053
a_real_arb,0.05039,2,0.1352,0.06618,0.06432,0.06827,0.00333,0.00324,0.00344
a_real_arb,0.05039,4,0.0676,0.00016,8e-05,0.00023,1e-05,0.0,1e-05
a_real_arb,0.05039,8,0.0338,0.0,0.0,0.0,0.0,0.0,0.0
a_real_arb,0.05039,16,0.0169,0.0,0.0,0.0,0.0,0.0,0.0
a_real_3chain,0.06881,1,0.3692,1.89112,1.87515,1.90054,0.13013,0.12903,0.13078
a_real_3chain,0.06881,2,0.1846,0.12403,0.12156,0.12693,0.00853,0.00836,0.00873
a_real_3chain,0.06881,4,0.0923,0.00061,0.00047,0.00076,4e-05,3e-05,5e-05
a_real_3chain,0.06881,8,0.0461,0.0,0.0,0.0,0.0,0.0,0.0
a_real_3chain,0.06881,16,0.0231,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.01,1,0.0537,0.18118,0.17944,0.18367,0.00181,0.00179,0.00184
b_sweep,0.012595,1,0.0676,0.23212,0.2306,0.23375,0.00292,0.0029,0.00294
b_sweep,0.015864,1,0.0851,0.29847,0.29702,0.29996,0.00473,0.00471,0.00476
b_sweep,0.019981,1,0.1072,0.38544,0.38354,0.38763,0.0077,0.00766,0.00775
b_sweep,0.025167,1,0.135,0.5014,0.49901,0.50386,0.01262,0.01256,0.01268
b_sweep,0.031698,1,0.1701,0.65929,0.65765,0.66128,0.0209,0.02085,0.02096
b_sweep,0.039924,1,0.2142,0.87882,0.87534,0.88129,0.03509,0.03495,0.03518
b_sweep,0.050285,1,0.2698,1.19241,1.18488,1.19777,0.05996,0.05958,0.06023
b_sweep,0.063336,1,0.3398,1.66292,1.64952,1.67119,0.10532,0.10447,0.10585
b_sweep,0.079773,1,0.428,2.42092,2.40198,2.43235,0.19312,0.19161,0.19403
b_sweep,0.100475,1,0.5391,3.79327,3.75177,3.81797,0.38113,0.37696,0.38361
b_sweep,0.126551,1,0.679,6.87145,6.79415,6.93276,0.86959,0.85981,0.87735
b_sweep,0.159394,1,0.8552,19.4233,19.02141,19.81378,3.09596,3.0319,3.1582
b_sweep,0.01,2,0.0268,0.00261,0.00224,0.00304,3e-05,2e-05,3e-05
b_sweep,0.012595,2,0.0338,0.00413,0.00366,0.00463,5e-05,5e-05,6e-05
b_sweep,0.015864,2,0.0426,0.00659,0.00605,0.00715,0.0001,0.0001,0.00011
b_sweep,0.019981,2,0.0536,0.01053,0.0099,0.01126,0.00021,0.0002,0.00022
b_sweep,0.025167,2,0.0675,0.01667,0.01592,0.01755,0.00042,0.0004,0.00044
b_sweep,0.031698,2,0.085,0.02631,0.02526,0.02756,0.00083,0.0008,0.00087
b_sweep,0.039924,2,0.1071,0.04157,0.04016,0.04328,0.00166,0.0016,0.00173
b_sweep,0.050285,2,0.1349,0.06591,0.06404,0.06799,0.00331,0.00322,0.00342
b_sweep,0.063336,2,0.1699,0.10482,0.10252,0.10753,0.00664,0.00649,0.00681
b_sweep,0.079773,2,0.214,0.16764,0.16499,0.17117,0.01337,0.01316,0.01365
b_sweep,0.100475,2,0.2695,0.2708,0.26734,0.27529,0.02721,0.02686,0.02766
b_sweep,0.126551,2,0.3395,0.44468,0.43942,0.45007,0.05627,0.05561,0.05696
b_sweep,0.159394,2,0.4276,0.75228,0.74318,0.76176,0.11991,0.11846,0.12142
b_sweep,0.20076,2,0.5385,1.35237,1.32808,1.37472,0.2715,0.26662,0.27599
b_sweep,0.252862,2,0.6783,2.77342,2.70093,2.82567,0.70129,0.68296,0.7145
b_sweep,0.318486,2,0.8543,8.74068,8.36123,9.04483,2.78378,2.66293,2.88065
b_sweep,0.01,4,0.0134,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.012595,4,0.0169,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.015864,4,0.0213,0.0,0.0,1e-05,0.0,0.0,0.0
b_sweep,0.019981,4,0.0268,1e-05,0.0,2e-05,0.0,0.0,0.0
b_sweep,0.025167,4,0.0338,1e-05,0.0,4e-05,0.0,0.0,0.0
b_sweep,0.031698,4,0.0425,3e-05,0.0,7e-05,0.0,0.0,0.0
b_sweep,0.039924,4,0.0535,6e-05,1e-05,0.00012,0.0,0.0,0.0
b_sweep,0.050285,4,0.0674,0.00015,8e-05,0.00023,1e-05,0.0,1e-05
b_sweep,0.063336,4,0.085,0.00043,0.0003,0.00055,3e-05,2e-05,3e-05
b_sweep,0.079773,4,0.107,0.00111,0.00095,0.0013,9e-05,8e-05,0.0001
b_sweep,0.100475,4,0.1348,0.00273,0.0024,0.00298,0.00027,0.00024,0.0003
b_sweep,0.126551,4,0.1697,0.00652,0.006,0.00689,0.00083,0.00076,0.00087
b_sweep,0.159394,4,0.2138,0.01521,0.0142,0.01579,0.00243,0.00226,0.00252
b_sweep,0.20076,4,0.2693,0.03462,0.03297,0.03582,0.00695,0.00662,0.00719
b_sweep,0.252862,4,0.3392,0.07786,0.07513,0.07988,0.01969,0.019,0.0202
b_sweep,0.318486,4,0.4272,0.17516,0.17037,0.17936,0.05578,0.05426,0.05712
b_sweep,0.40114,4,0.538,0.40321,0.39613,0.41263,0.16174,0.1589,0.16552
b_sweep,0.505245,4,0.6777,1.02333,1.00269,1.0543,0.51703,0.5066,0.53268
b_sweep,0.636367,4,0.8535,3.8488,3.73438,4.03888,2.44925,2.37643,2.57021
b_sweep,0.01,8,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.012595,8,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.015864,8,0.0106,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.019981,8,0.0134,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.025167,8,0.0169,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.031698,8,0.0213,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.039924,8,0.0268,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.050285,8,0.0337,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.063336,8,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.079773,8,0.0535,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.100475,8,0.0674,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.126551,8,0.0849,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.159394,8,0.1069,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.20076,8,0.1346,1e-05,0.0,2e-05,0.0,0.0,0.0
b_sweep,0.252862,8,0.1696,7e-05,2e-05,0.00012,2e-05,0.0,3e-05
b_sweep,0.318486,8,0.2136,0.00031,0.0002,0.00041,0.0001,6e-05,0.00013
b_sweep,0.40114,8,0.269,0.00127,0.00103,0.00137,0.00051,0.00041,0.00055
b_sweep,0.505245,8,0.3388,0.00532,0.00492,0.00551,0.00269,0.00248,0.00278
b_sweep,0.636367,8,0.4268,0.02157,0.02111,0.02197,0.01373,0.01343,0.01398
b_sweep,0.801519,8,0.5375,0.08255,0.08097,0.0844,0.06616,0.0649,0.06765
b_sweep,1.009532,8,0.677,0.31705,0.31107,0.32025,0.32008,0.31404,0.3233
b_sweep,1.271528,8,0.8527,1.63153,1.58817,1.66632,2.07454,2.0194,2.11877
b_sweep,0.01,16,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.012595,16,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.015864,16,0.0053,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.019981,16,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.025167,16,0.0084,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.031698,16,0.0106,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.039924,16,0.0134,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.050285,16,0.0169,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.063336,16,0.0212,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.079773,16,0.0267,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.100475,16,0.0337,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.126551,16,0.0424,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.159394,16,0.0534,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.20076,16,0.0673,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.252862,16,0.0848,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.318486,16,0.1068,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.40114,16,0.1345,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.505245,16,0.1694,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.636367,16,0.2134,0.0,0.0,0.0,0.0,0.0,0.0
b_sweep,0.801519,16,0.2688,1e-05,0.0,2e-05,1e-05,0.0,2e-05
