model,system,lambda,c,rho_perserver,rho_offered,Wq_mean_s,Wq_lo_s,Wq_hi_s,Lq_mean,Lq_lo,Lq_hi,P_wait,P_wait_gt2p5,Wq_p95_s
A_pooled,mixture,0.005592,1,0.03,0.03,0.09834,0.09632,0.10107,0.00055,0.00054,0.00057,0.02973,0.01628,0.0
A_pooled,mixture,0.013047,1,0.07,0.07,0.24118,0.23968,0.24277,0.00315,0.00313,0.00317,0.06999,0.03936,1.62081
A_pooled,mixture,0.020503,1,0.11,0.11,0.39679,0.39481,0.39909,0.00814,0.00809,0.00818,0.11022,0.06336,3.26826
A_pooled,mixture,0.027959,1,0.15,0.15,0.56712,0.56474,0.56949,0.01586,0.01579,0.01592,0.15058,0.08909,4.43541
A_pooled,mixture,0.035414,1,0.19,0.19,0.75547,0.7534,0.75679,0.02675,0.02668,0.0268,0.19077,0.11599,5.5561
A_pooled,mixture,0.04287,1,0.23,0.23,0.96344,0.95878,0.96685,0.0413,0.0411,0.04145,0.23059,0.14424,6.4632
A_pooled,mixture,0.050326,1,0.27,0.27,1.19372,1.18617,1.19908,0.06007,0.05969,0.06034,0.27056,0.17374,7.25171
A_pooled,mixture,0.057781,1,0.31,0.31,1.45074,1.44017,1.45736,0.08383,0.08321,0.08421,0.31044,0.20449,7.9904
A_pooled,mixture,0.065237,1,0.35,0.35,1.73982,1.72535,1.7486,0.1135,0.11256,0.11407,0.35055,0.23663,8.86852
A_pooled,mixture,0.072692,1,0.39,0.39,2.06676,2.05003,2.07672,0.15024,0.14902,0.15096,0.39043,0.2705,9.95257
A_pooled,mixture,0.080148,1,0.43,0.43,2.44102,2.42184,2.45264,0.19564,0.19411,0.19657,0.43057,0.30583,11.20094
A_pooled,mixture,0.087604,1,0.47,0.47,2.87171,2.84737,2.88585,0.25157,0.24944,0.25281,0.47105,0.34255,12.62634
A_pooled,mixture,0.095059,1,0.51,0.51,3.37384,3.34028,3.39329,0.32072,0.31752,0.32256,0.51088,0.38103,14.23616
A_pooled,mixture,0.102515,1,0.55,0.55,3.96578,3.92041,3.99296,0.40655,0.4019,0.40934,0.5513,0.42135,16.10156
A_pooled,mixture,0.109971,1,0.59,0.59,4.67242,4.61723,4.70697,0.51383,0.50776,0.51763,0.59113,0.46307,18.28401
A_pooled,mixture,0.117426,1,0.63,0.63,5.52904,5.46941,5.57418,0.64925,0.64225,0.65456,0.63131,0.50671,20.94882
A_pooled,mixture,0.124882,1,0.67,0.67,6.59547,6.52173,6.65447,0.82365,0.81445,0.83102,0.67142,0.55224,24.20227
