section,key,value
daily,date,TxTfrCnt
daily,2023-02-01,1011410
daily,2023-02-02,944689
daily,2023-02-03,793132
daily,2023-02-04,781011
daily,2023-02-05,830832
daily,2023-02-06,913380
daily,2023-02-07,1022659
daily,2023-02-08,973206
daily,2023-02-09,965433
daily,2023-02-10,897547
daily,2023-02-11,537221
daily,2023-02-12,597459
daily,2023-02-13,824196
daily,2023-02-14,724415
daily,2023-02-15,713243
daily,2023-02-16,953484
daily,2023-02-17,778119
daily,2023-02-18,799889
daily,2023-02-19,817316
daily,2023-02-20,957166
daily,2023-02-21,852946
daily,2023-02-22,823102
daily,2023-02-23,702881
daily,2023-02-24,758557
daily,2023-02-25,205991
daily,2023-02-26,634427
daily,2023-02-27,678791
daily,2023-02-28,649844
daily,2023-03-01,616214
daily,2023-03-02,605639
daily,2023-03-03,731936
daily,2023-03-04,569301
daily,2023-03-05,553148
daily,2023-03-06,569530
daily,2023-03-07,632229
daily,2023-03-08,738434
daily,2023-03-09,809733
daily,2023-03-10,1085054
daily,2023-03-11,1581640
daily,2023-03-12,924798
daily,2023-03-13,1142953
daily,2023-03-14,1134094
daily,2023-03-15,1030616
daily,2023-03-16,884490
daily,2023-03-17,944930
daily,2023-03-18,1049919
daily,2023-03-19,877290
daily,2023-03-20,1297545
daily,2023-03-21,1118735
daily,2023-03-22,748740
daily,2023-03-23,954302
daily,2023-03-24,840755
daily,2023-03-25,676583
daily,2023-03-26,621838
daily,2023-03-27,697277
daily,2023-03-28,695626
daily,2023-03-29,689173
daily,2023-03-30,709107
daily,2023-03-31,699883
peak,peak_day,2023-03-11
peak,peak_day_TxTfrCnt,1581640
peak,peak_win_0310_0312_mean,1197164
baseline_median,late_Feb(15-28),778119
baseline_median,all_Feb(01-28),817316
baseline_median,pre_crisis_wk(03-09),632229
X_peakday,late_Feb(15-28),2.033
X_peakwin,late_Feb(15-28),1.539
X_peakday,all_Feb(01-28),1.935
X_peakwin,all_Feb(01-28),1.465
X_peakday,pre_crisis_wk(03-09),2.502
X_peakwin,pre_crisis_wk(03-09),1.894
X_aggregate_range,lo_hi,1.94-2.50
crit_Wq05,lo_hi_x,1.9-2.6
crit_saturation,lo_hi_x,5.4-7.4
