"experiment_id","experiment_start_iso","local_send_iso","local_send_time(ns)","amount_usdc","amount_raw(usdc_atomic)","arb_tx_hash","arb_block_number","arb_block_timestamp_iso","arb_block_timestamp(ms)","arb_gas_used(wei)","arb_gas_price(wei)","arb_tx_fee(eth)","hl_ledger_time_iso","hl_ledger_time(ms)","hl_block_number","hl_block_timestamp(ms)","hl_tx_hash","latency(ms)","note"
"1","2025-11-27T06:57:42","2025-11-27T06:57:47","1764226667431235000","5","5000000","0x863bf4306897c2b46ea4e46149348d01c92bdb96eeb85d81653d06df96043eb5","404580282","2025-11-27T06:57:48","1764226668000.0","45317","10000000","4.53e-07","2025-11-27T06:58:00.841","1764226680841.0","20306133","1764226680841.0","0x863bf4306897c2b46ea4e46149348d01c92bdb96eeb85d81653d06df96043eb5","13409.765","Validator-Signed"
"2","2025-11-28T11:28:51","2025-11-28T11:28:56","1764329336761284000","5","5000000","0xa8e8a2af7be31e1918b8af22df37bac70882d35333af9d1804b77069e9149cbb","404991447","2025-11-28T11:28:57","1764329337000.0","45511","12208000","5.56e-07","2025-11-28T11:29:09.178","1764329349178.0","20410512","1764329349178.0","0xa8e8a2af7be31e1918b8af22df37bac70882d35333af9d1804b77069e9149cbb","12416.716","Validator-Signed"
"3","2025-11-28T11:30:31","2025-11-28T11:30:35","1764329435450708000","5","5000000","0x182c60a3814efef3f65c35f39a932186865d3757d8ed96e635746c17abb387aa","404991840","2025-11-28T11:30:35","1764329435000.0","45607","10000000","4.56e-07","2025-11-28T11:30:44.937","1764329444937.0","20410609","1764329444937.0","0x182c60a3814efef3f65c35f39a932186865d3757d8ed96e635746c17abb387aa","9486.292","Validator-Signed"
"4","2025-11-28T11:31:13","2025-11-28T11:31:18","1764329478561977000","5","5000000","0xf7cd28b785793af79ae6cce5cf87aa0b95a9f3455c6a748fe43bedba948420c7","404992013","2025-11-28T11:31:19","1764329479000.0","45607","10000000","4.56e-07","2025-11-28T11:31:25.546","1764329485546.0","20410650","1764329485546.0","0xf7cd28b785793af79ae6cce5cf87aa0b95a9f3455c6a748fe43bedba948420c7","6984.023","Validator-Signed"
"5","2025-11-28T11:31:48","2025-11-28T11:31:52","1764329512868079000","5","5000000","0xa07003cbf7b5ee5f601264e5d58b6d2507f6ff91f2fec9451abdad2dac96f447","404992149","2025-11-28T11:31:53","1764329513000.0","45607","10000000","4.56e-07","2025-11-28T11:32:04.119","1764329524119.0","20410690","1764329524119.0","0xa07003cbf7b5ee5f601264e5d58b6d2507f6ff91f2fec9451abdad2dac96f447","11250.921","Validator-Signed"
"6","2025-11-28T11:32:22","2025-11-28T11:32:27","1764329547059799000","5","5000000","0xdbc1fe6267d248aa2ab4b78a9f750dadad3a0fcf1434f99c9a669701a362999e","404992287","2025-11-28T11:32:27","1764329547000.0","45607","10000000","4.56e-07","2025-11-28T11:32:32.620","1764329552620.0","20410719","1764329552620.0","0xdbc1fe6267d248aa2ab4b78a9f750dadad3a0fcf1434f99c9a669701a362999e","5560.201","Validator-Signed"
"7","2025-11-28T13:15:55","2025-11-28T13:16:00","1764335760157887000","5","5000000","0x1b3bd2a3027e71e0e542ed67262f2aaed2a283703f2e3e8b66d8accc998c935e","405017193","2025-11-28T13:16:00","1764335760000.0","45397","13233000","6.01e-07","2025-11-28T13:16:05.048","1764335765048.0","20417035","1764335765048.0","0x1b3bd2a3027e71e0e542ed67262f2aaed2a283703f2e3e8b66d8accc998c935e","4890.113","Validator-Signed"
"8","2025-11-28T13:16:29","2025-11-28T13:16:34","1764335794458784000","5","5000000","0x85d47c5fbd160f38ee0c408b258150b18b1b04f8d6a2b36d77cbb83aee2fa5d5","405017330","2025-11-28T13:16:34","1764335794000.0","45428","12129000","5.51e-07","2025-11-28T13:16:42.982","1764335802982.0","20417073","1764335802982.0","0x85d47c5fbd160f38ee0c408b258150b18b1b04f8d6a2b36d77cbb83aee2fa5d5","8523.216","Validator-Signed"
"9","2025-11-28T13:17:00","2025-11-28T13:17:05","1764335825878838000","5","5000000","0xfcce38da511a6267c59dc75713e10c637e183951260d3c82dc54b4b675acceb3","405017456","2025-11-28T13:17:06","1764335826000.0","45475","10690000","4.86e-07","2025-11-28T13:17:09.668","1764335829668.0","20417101","1764335829668.0","0xfcce38da511a6267c59dc75713e10c637e183951260d3c82dc54b4b675acceb3","3789.162","Validator-Signed"
"10","2025-11-29T11:32:42","2025-11-29T11:32:46","1764415966909484000","5","5000000","0x1b860850e3fc88e718e249738982bfee556f2df6b318c0e6e84b335af61cc9fa","405338149","2025-11-29T11:32:47","1764415967000.0","45347","10000000","4.53e-07","2025-11-29T11:32:51.834","1764415971834.0","20498496","1764415971834.0","0x1b860850e3fc88e718e249738982bfee556f2df6b318c0e6e84b335af61cc9fa","4924.516","Validator-Signed"
"11","2025-11-29T11:33:14","2025-11-29T11:33:19","1764415999226192000","5","5000000","0xcb9bb3910e8ca09e9062ddd592465ee985b97033f45eb018220a9e78cea40b1b","405338277","2025-11-29T11:33:19","1764415999000.0","45347","10000000","4.53e-07","2025-11-29T11:33:29.457","1764416009457.0","20498535","1764416009457.0","0xcb9bb3910e8ca09e9062ddd592465ee985b97033f45eb018220a9e78cea40b1b","10230.808","Validator-Signed"
"12","2025-11-29T11:33:38","2025-11-29T11:33:43","1764416023547624000","5","5000000","0xda6030ed462554772ff2f9ff5e20f4f0611d573ea5fa82c51a0d472b80eb360b","405338375","2025-11-29T11:33:43","1764416023000.0","45347","10000000","4.53e-07","2025-11-29T11:33:57.405","1764416037405.0","20498562","1764416037405.0","0xda6030ed462554772ff2f9ff5e20f4f0611d573ea5fa82c51a0d472b80eb360b","13857.376","Validator-Signed"
"13","2025-11-29T11:34:14","2025-11-29T11:34:19","1764416059638061000","5","5000000","0x1673e85cba4cdf0a1f291262b552208dcb0fb5e6825809c8964bc604191fe21c","405338519","2025-11-29T11:34:20","1764416060000.0","45347","10000000","4.53e-07","2025-11-29T11:34:26.937","1764416066937.0","20498593","1764416066937.0","0x1673e85cba4cdf0a1f291262b552208dcb0fb5e6825809c8964bc604191fe21c","7298.939","Validator-Signed"
"14","2025-11-29T11:34:36","2025-11-29T11:34:41","1764416081763738000","5","5000000","0x13369edfb24eab99094ab52fd36ef1d1253a8fa89b1bdf7e71cc3a9a913c59a6","405338604","2025-11-29T11:34:41","1764416081000.0","45347","10000000","4.53e-07","2025-11-29T11:34:48.588","1764416088588.0","20498615","1764416088588.0","0x13369edfb24eab99094ab52fd36ef1d1253a8fa89b1bdf7e71cc3a9a913c59a6","6824.262","Validator-Signed"
"15","2025-11-29T13:25:41","2025-11-29T13:25:46","1764422746502465000","5","5000000","0x63a3722d5fc2b750a191e0c6edd14baf4d34e230cd370ebeb36be32a9abd59ab","405365282","2025-11-29T13:25:46","1764422746000.0","45283","10000000","4.53e-07","2025-11-29T13:25:55.329","1764422755329.0","20505392","1764422755329.0","0x63a3722d5fc2b750a191e0c6edd14baf4d34e230cd370ebeb36be32a9abd59ab","8826.535","Validator-Signed"
"16","2025-11-29T13:26:06","2025-11-29T13:26:11","1764422771184569000","5","5000000","0x9cd03c2694ebbadab6e5d52f98c03f1799e17f9f27a6bd80b4482a449016201f","405365376","2025-11-29T13:26:10","1764422770000.0","45283","10000000","4.53e-07","2025-11-29T13:26:13.859","1764422773859.0","20505412","1764422773859.0","0x9cd03c2694ebbadab6e5d52f98c03f1799e17f9f27a6bd80b4482a449016201f","2674.431","Validator-Signed"
"17","2025-11-29T13:26:23","2025-11-29T13:26:27","1764422787870192000","5","5000000","0xb3d1ea4ba2aed89c13c0e1bd238f15cc12a6a7b4e27b7e24873fc90708a4e90d","405365445","2025-11-29T13:26:27","1764422787000.0","45283","10000000","4.53e-07","2025-11-29T13:26:40.250","1764422800250.0","20505438","1764422800250.0","0xb3d1ea4ba2aed89c13c0e1bd238f15cc12a6a7b4e27b7e24873fc90708a4e90d","12379.808","Validator-Signed"
