experiment_id,arb_tx_hash,arb_block_number,batch_l1_block,batch_l1_ts,t_safe_iso,t_hard_ts,hl_ledger_time_ms,G_seconds,L_wallclock_seconds,anchor_l1_block,arb_block_timestamp_ts,t1_to_safe_seconds,err
1,0x863bf4306897c2b46ea4e46149348d01c92bdb96eeb85d81653d06df96043eb5,404580282,23888414,1764226679,2025-11-27T06:57:59Z,1764227447,1764226680841.0,766.159,13.41,23888413,1764226668,11,
2,0xa8e8a2af7be31e1918b8af22df37bac70882d35333af9d1804b77069e9149cbb,404991447,23896879,1764329339,2025-11-28T11:28:59Z,1764330107,1764329349178.0,757.822,12.417,23896878,1764329337,2,
3,0x182c60a3814efef3f65c35f39a932186865d3757d8ed96e635746c17abb387aa,404991840,23896888,1764329447,2025-11-28T11:30:47Z,1764330215,1764329444937.0,770.063,9.486,23896887,1764329435,12,
4,0xf7cd28b785793af79ae6cce5cf87aa0b95a9f3455c6a748fe43bedba948420c7,404992013,23896894,1764329519,2025-11-28T11:31:59Z,1764330287,1764329485546.0,801.454,6.984,23896890,1764329479,40,
5,0xa07003cbf7b5ee5f601264e5d58b6d2507f6ff91f2fec9451abdad2dac96f447,404992149,23896894,1764329519,2025-11-28T11:31:59Z,1764330287,1764329524119.0,762.881,11.251,23896893,1764329513,6,
6,0xdbc1fe6267d248aa2ab4b78a9f750dadad3a0fcf1434f99c9a669701a362999e,404992287,23896901,1764329603,2025-11-28T11:33:23Z,1764330371,1764329552620.0,818.38,5.56,23896896,1764329547,56,
7,0x1b3bd2a3027e71e0e542ed67262f2aaed2a283703f2e3e8b66d8accc998c935e,405017193,23897410,1764335783,2025-11-28T13:16:23Z,1764336551,1764335765048.0,785.952,4.89,23897408,1764335760,23,
8,0x85d47c5fbd160f38ee0c408b258150b18b1b04f8d6a2b36d77cbb83aee2fa5d5,405017330,23897410,1764335783,2025-11-28T13:16:23Z,1764336551,1764335802982.0,748.018,8.523,23897410,1764335794,-11,
9,0xfcce38da511a6267c59dc75713e10c637e183951260d3c82dc54b4b675acceb3,405017456,23897419,1764335891,2025-11-28T13:18:11Z,1764336659,1764335829668.0,829.332,3.789,23897413,1764335826,65,
10,0x1b860850e3fc88e718e249738982bfee556f2df6b318c0e6e84b335af61cc9fa,405338149,23904045,1764415979,2025-11-29T11:32:59Z,1764416747,1764415971834.0,775.166,4.925,23904044,1764415967,12,
