period,scope,key,direction,start_utc,end_utc,n_events,duration_s,rate_per_s,mean_amount_usdc,median_amount_usdc,p90_amount_usdc
A,overall,2025-11-27..2025-12-09,deposit,2025-11-27T00:00:00Z,2025-12-09T00:00:00Z,57195,1036800.0,0.055164930555555554,18866.28767224658,234.795044,11000.0
A,overall,2025-11-27..2025-12-09,withdraw,2025-11-27T00:00:00Z,2025-12-09T00:00:00Z,50146,1036800.0,0.048366126543209875,22023.69872900917,299.0,15891.3391955
A,day,2025-11-27,deposit,2025-11-27T00:00:00Z,2025-11-27T24:00:00Z,6479,86400.0,0.07498842592592593,15674.403510037044,249.75,9585.452647199998
A,day,2025-11-27,withdraw,2025-11-27T00:00:00Z,2025-11-27T24:00:00Z,5403,86400.0,0.06253472222222223,16805.10861790598,282.26,11683.856042400004
A,day,2025-11-28,deposit,2025-11-28T00:00:00Z,2025-11-28T24:00:00Z,4881,86400.0,0.05649305555555555,19615.799028565663,238.693945,11359.7081
A,day,2025-11-28,withdraw,2025-11-28T00:00:00Z,2025-11-28T24:00:00Z,4297,86400.0,0.0497337962962963,27908.704026681644,315.981134,16381.866160000003
A,day,2025-11-29,deposit,2025-11-29T00:00:00Z,2025-11-29T24:00:00Z,3226,86400.0,0.03733796296296296,11264.01110429944,199.8,9069.23
A,day,2025-11-29,withdraw,2025-11-29T00:00:00Z,2025-11-29T24:00:00Z,3173,86400.0,0.036724537037037035,20022.882757970692,258.54,12256.019832800019
A,day,2025-11-30,deposit,2025-11-30T00:00:00Z,2025-11-30T24:00:00Z,3339,86400.0,0.03864583333333333,13170.692997388442,192.174663,10000.0
A,day,2025-11-30,withdraw,2025-11-30T00:00:00Z,2025-11-30T24:00:00Z,3148,86400.0,0.03643518518518519,19627.48773791709,299.0,14999.3005194
A,day,2025-12-01,deposit,2025-12-01T00:00:00Z,2025-12-01T24:00:00Z,8172,86400.0,0.09458333333333334,19023.330105446526,279.8223435,10884.728000000001
A,day,2025-12-01,withdraw,2025-12-01T00:00:00Z,2025-12-01T24:00:00Z,6774,86400.0,0.07840277777777778,36025.500919669175,347.04844249999996,22938.01751369997
A,day,2025-12-02,deposit,2025-12-02T00:00:00Z,2025-12-02T24:00:00Z,6164,86400.0,0.0713425925925926,18677.736489056617,292.59000000000003,16896.990719999998
A,day,2025-12-02,withdraw,2025-12-02T00:00:00Z,2025-12-02T24:00:00Z,5012,86400.0,0.05800925925925926,14040.50764272486,249.0,10594.943729500003
A,day,2025-12-03,deposit,2025-12-03T00:00:00Z,2025-12-03T24:00:00Z,5445,86400.0,0.06302083333333333,22326.792097671077,234.23,12329.954840000015
A,day,2025-12-03,withdraw,2025-12-03T00:00:00Z,2025-12-03T24:00:00Z,4554,86400.0,0.052708333333333336,22880.343485641413,299.0,16833.634999999984
A,day,2025-12-04,deposit,2025-12-04T00:00:00Z,2025-12-04T24:00:00Z,4104,86400.0,0.0475,17603.07372847466,216.40678450000001,10447.498051600012
