block_number,block_timestamp_utc,block_timestamp_ms,tx_hash,log_index,event,topic0,user,amount_usdc,nonce,window_id
473126673,2026-06-13T16:54:57Z,1781369697000,0xa2367c59d5a66b27f4660e256a6dee07ef0d97349654de04e943379ed19b8bfa,29,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0xce196fdce30d967a21b309151bf39af6a81c5eae,12.651081,1781369458513000,7
473126673,2026-06-13T16:54:57Z,1781369697000,0xa2367c59d5a66b27f4660e256a6dee07ef0d97349654de04e943379ed19b8bfa,31,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x10628b22e03030a6c1638790a9eef493d9bfe608,25.422375,1781369457869000,7
473126673,2026-06-13T16:54:57Z,1781369697000,0xa2367c59d5a66b27f4660e256a6dee07ef0d97349654de04e943379ed19b8bfa,33,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0xe430c40439dda86d14e08831805b2e663166b80f,21.826139,1781369458353000,7
473126673,2026-06-13T16:54:57Z,1781369697000,0xa2367c59d5a66b27f4660e256a6dee07ef0d97349654de04e943379ed19b8bfa,35,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x3b7b8a2aa9d0e309d7dcddd48ef6359a80543dc7,21.108837,1781369458033000,7
473126673,2026-06-13T16:54:57Z,1781369697000,0xa2367c59d5a66b27f4660e256a6dee07ef0d97349654de04e943379ed19b8bfa,37,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x8e17b38ae0943fa84c3d5a836a74471d651f77c4,15.763996,1781369458194000,7
473126777,2026-06-13T16:55:22Z,1781369722000,0x60e787fe2c835929edfcc9ae0164f7243f06a660f6cc2b702f4560290900ff62,4,RequestedWithdrawal,0xcc10abf54af5c0718b10b0156dfe1e369ce3eee72423e9e86936a0082e9c5d1b,0x14c7ffeeaf06c15c98aef41d598e9069fac74fd9,148.065056,1781369698423000,7
473126982,2026-06-13T16:56:13Z,1781369773000,0xe412c9969000f74e035cf1be7939045586541a0889a7de0a9d852599b45e4afd,57,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x260ab86369c910121277541276a6dd2901de8a5b,49.0,1781369432155000,7
473127092,2026-06-13T16:56:41Z,1781369801000,0x20f99f972b9dbbaa966ec1f4e3bdb023ac1c457562616b81266a28b800601745,120,RequestedWithdrawal,0xcc10abf54af5c0718b10b0156dfe1e369ce3eee72423e9e86936a0082e9c5d1b,0x525a7956b65dc84af05f7dfc69ede9a62e620c6e,17.19,1781369791707000,7
473127099,2026-06-13T16:56:43Z,1781369803000,0x37e08cf495a2888dcb319e6fdfe42e11d07e4cb5a8792af727e87a0bf592426d,38,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x707a207c5fa4551850c8f001b4299279741d3c83,126.77,1781369499978000,7
473127099,2026-06-13T16:56:43Z,1781369803000,0x37e08cf495a2888dcb319e6fdfe42e11d07e4cb5a8792af727e87a0bf592426d,40,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0xe1bc1d4ef5e4db9c26a5a6c074ec35aece0e3c49,24.25,1781369566960000,7
473127180,2026-06-13T16:57:03Z,1781369823000,0x57b871d3a747dcdb052dc63746301757ae9f5d45246dfc8e102be9eab2d27e0e,16,RequestedWithdrawal,0xcc10abf54af5c0718b10b0156dfe1e369ce3eee72423e9e86936a0082e9c5d1b,0x33e665dc37833c47b866b6b72800b4cc8d841c8c,22.27,1781369803367000,7
473127281,2026-06-13T16:57:28Z,1781369848000,0xc7d4b444cccc748ee93a866a6cdf29c2e6e6c1800f84bedd39930b14f3f0b756,0,RequestedWithdrawal,0xcc10abf54af5c0718b10b0156dfe1e369ce3eee72423e9e86936a0082e9c5d1b,0x7dd57240534dd82fa83235eee4fe5d14481dc303,201.976364,1781369832693000,7
473127663,2026-06-13T16:59:05Z,1781369945000,0xcfb418f6ef524680b09a54c45e2b27dfb978e5055a39bd4035a70128cf4d3487,4,FinalizedWithdrawal,0xe5c7fe3a4ffca1590f26d74c8ba8b0db69557f7f4607a2a43f82e93041611978,0x14c7ffeeaf06c15c98aef41d598e9069fac74fd9,148.065056,1781369698423000,7
473128014,2026-06-13T17:00:34Z,1781370034000,0xb208e1fa52a1e6e4746a358d9b85ec267b521a0345355a6fa71a5b2f8b8bcd43,0,RequestedWithdrawal,0xcc10abf54af5c0718b10b0156dfe1e369ce3eee72423e9e86936a0082e9c5d1b,0xefd564b47e43d64a0a4e4fc8fd24d7db33e1e96a,2075.970074,1781369522677000,7
