experiment_id,arb_tx_hash,arb_block_number,arb_block_timestamp_ms,arb_block_timestamp_utc,others_deposit_prev16s,others_deposit_prev60s,others_deposit_pm60s,latency_ms
1,0x863bf4306897c2b46ea4e46149348d01c92bdb96eeb85d81653d06df96043eb5,404580282,1764226668000,2025-11-27T06:57:48Z,1,3,5,13409.765
2,0xa8e8a2af7be31e1918b8af22df37bac70882d35333af9d1804b77069e9149cbb,404991447,1764329337000,2025-11-28T11:28:57Z,0,4,7,12416.716
3,0x182c60a3814efef3f65c35f39a932186865d3757d8ed96e635746c17abb387aa,404991840,1764329435000,2025-11-28T11:30:35Z,0,4,8,9486.292
4,0xf7cd28b785793af79ae6cce5cf87aa0b95a9f3455c6a748fe43bedba948420c7,404992013,1764329479000,2025-11-28T11:31:19Z,3,4,7,6984.023
5,0xa07003cbf7b5ee5f601264e5d58b6d2507f6ff91f2fec9451abdad2dac96f447,404992149,1764329513000,2025-11-28T11:31:53Z,1,4,8,11250.921
6,0xdbc1fe6267d248aa2ab4b78a9f750dadad3a0fcf1434f99c9a669701a362999e,404992287,1764329547000,2025-11-28T11:32:27Z,1,3,7,5560.201
7,0x1b3bd2a3027e71e0e542ed67262f2aaed2a283703f2e3e8b66d8accc998c935e,405017193,1764335760000,2025-11-28T13:16:00Z,1,2,7,4890.113
8,0x85d47c5fbd160f38ee0c408b258150b18b1b04f8d6a2b36d77cbb83aee2fa5d5,405017330,1764335794000,2025-11-28T13:16:34Z,4,6,7,8523.216
9,0xfcce38da511a6267c59dc75713e10c637e183951260d3c82dc54b4b675acceb3,405017456,1764335826000,2025-11-28T13:17:06Z,0,5,7,3789.162
10,0x1b860850e3fc88e718e249738982bfee556f2df6b318c0e6e84b335af61cc9fa,405338149,1764415967000,2025-11-29T11:32:47Z,0,0,2,4924.516
11,0xcb9bb3910e8ca09e9062ddd592465ee985b97033f45eb018220a9e78cea40b1b,405338277,1764415999000,2025-11-29T11:33:19Z,0,0,6,10230.808
12,0xda6030ed462554772ff2f9ff5e20f4f0611d573ea5fa82c51a0d472b80eb360b,405338375,1764416023000,2025-11-29T11:33:43Z,0,2,7,13857.376
13,0x1673e85cba4cdf0a1f291262b552208dcb0fb5e6825809c8964bc604191fe21c,405338519,1764416060000,2025-11-29T11:34:20Z,1,5,7,7298.939
14,0x13369edfb24eab99094ab52fd36ef1d1253a8fa89b1bdf7e71cc3a9a913c59a6,405338604,1764416081000,2025-11-29T11:34:41Z,0,5,7,6824.262
15,0x63a3722d5fc2b750a191e0c6edd14baf4d34e230cd370ebeb36be32a9abd59ab,405365282,1764422746000,2025-11-29T13:25:46Z,0,0,5,8826.535
16,0x9cd03c2694ebbadab6e5d52f98c03f1799e17f9f27a6bd80b4482a449016201f,405365376,1764422770000,2025-11-29T13:26:10Z,3,3,8,2674.431
17,0xb3d1ea4ba2aed89c13c0e1bd238f15cc12a6a7b4e27b7e24873fc90708a4e90d,405365445,1764422787000,2025-11-29T13:26:27Z,0,3,8,12379.808
18,0xd8a60b7b629fe8e3de17f79ed8c9747d392145acbddec1f4737de118a0be406f,405365602,1764422826000,2025-11-29T13:27:06Z,2,4,6,11404.131
19,0xa04303bca1ca650aa09d868c93ae598d21bfdf11d1511360eaf32a1c9950c312,405365975,1764422920000,2025-11-29T13:28:40Z,0,0,0,4592.026
20,0x1f6e7116975511f4a26d83cc68ea1087d515d00b5604f3ff8e2fd61ba0ff8df1,405366038,1764422936000,2025-11-29T13:28:56Z,0,0,1,10343.106
21,0x1e7cdbdb8d45dee90a352218120479172c1a83c1cd62706623cb3f1b36825aad,405366156,1764422965000,2025-11-29T13:29:25Z,0,0,1,5499.472
22,0x4a6b668950c65532d43001bc655b77254ea7ef7717c9e7946f4b066b8df49172,405633192,1764489724000,2025-11-30T08:02:04Z,2,3,6,2585.812
23,0x19f6f59d9d3a10eeb7c0573ace93f94cf943e4a7fa80ab06d521ac1e4135d48d,405634169,1764489968000,2025-11-30T08:06:08Z,0,2,3,11412.899
24,0x9e9a07c1e311df9bde1530c6860dd73cf48e5c817aa16edebf9f55988e92be1f,405634999,1764490176000,2025-11-30T08:09:36Z,0,1,3,11240.149
25,0xd775720ff550c9cd190ef81a3715c6322424a7802076bbf9eed6ed0f8812e78c,405635137,1764490211000,2025-11-30T08:10:11Z,1,2,4,4192.08
26,0x3d3ab2287cf21c251bb10b6e0d2cc392060da8c88f158120f65c76e8f897039c,405658247,1764495976000,2025-11-30T09:46:16Z,2,6,7,3533.479
27,0xf383bf2ee0e6e5930e4bd1c25b57120ef1fb6a7f70987853d76adea74d08dc76,405673337,1764499740000,2025-11-30T10:49:00Z,0,1,4,6503.084
28,0x2ed530666ca8fb49412afdb5ea0e244192b49a1df98b99a984253abc8cfbb2e4,405673414,1764499760000,2025-11-30T10:49:20Z,0,0,3,5531.601
29,0x232beca261194f091234c256603c3413199ee151608649743560db31867b3c03,405673474,1764499775000,2025-11-30T10:49:35Z,1,1,4,8597.804
30,0x2abe4cf5ddd61d70aaf0bb09745df53b1a2d6f50e7335b1023c420f596e5cdd4,405673548,1764499793000,2025-11-30T10:49:53Z,0,1,5,6927.882
31,0x75d1805d856df38a139b10ae2cecb6a27bf20e67054df66fbf680482997e20bc,406280493,1764651085000,2025-12-02T04:51:25Z,0,5,6,5552.113
32,0x0be000d939bbb8e60c4515b0f24c0e3b387afad7d71101cc838dce197ca5873d,406280554,1764651100000,2025-12-02T04:51:40Z,1,2,2,11178.673
33,0x7e0542243ddbbba3bdf3eb06e6b546bb0355930afb384b2bb9fd003367cda099,406280727,1764651142000,2025-12-02T04:52:22Z,0,1,2,7445.526
34,0xc756d9407c2225e4ee6784eeabb1474c73edd366e8d3ae56ab35e885b5a41d6a,406280787,1764651157000,2025-12-02T04:52:37Z,0,0,2,11782.961
35,0xcb0e5985e0e848e3ecc94fdf8fab03f33e4c4b76021c8db6f1db39178fc78389,406280865,1764651177000,2025-12-02T04:52:57Z,0,0,3,7492.86
36,0x26abf298c2526a30f3b472c8fa7052ecb415f39a4185effe8d0842243721cf01,406280927,1764651192000,2025-12-02T04:53:12Z,0,0,3,4597.709
37,0x81dc38e6556307c4632a357e21c30b24fea0afd89a21179e3ec286dae167e3ec,406280974,1764651204000,2025-12-02T04:53:24Z,1,1,3,12752.994
38,0xe6549f3b968325150fe63203b525730ca30880d140e65a1981ed1e96d69d32e6,406281056,1764651224000,2025-12-02T04:53:44Z,1,2,3,8781.566
39,0xd9698756e62beedceb7d51c6c4f5a5ce0cc8ebdb928b768ff5db1adb056b2afa,406281164,1764651252000,2025-12-02T04:54:12Z,0,3,6,6973.881
40,0x731fd4c6b148ecfe5c4f0f6038b2be89b672f28bbc79a0dc40dca0ccbb760931,406281232,1764651269000,2025-12-02T04:54:29Z,0,2,7,7026.256
41,0x627d3a4d604b08ca5b3effa0b33df343d085ded1047166de98f92e04acfd8610,406625172,1764736997000,2025-12-03T04:43:17Z,1,4,8,5519.562
42,0xb9e7444e3e9d82ee14f71167978b54e3febd0dfd5b5d84fa1b6dd5d374d8d1ab,406625229,1764737011000,2025-12-03T04:43:31Z,1,5,8,3400.258
43,0xc7dbf0803a84638d72bff89b70b7075b8c2a2c12f2b8963221058ef134f8a776,406625281,1764737024000,2025-12-03T04:43:44Z,0,2,5,9896.095
44,0xc02621af6140bf0a30b71400145fdb40021a9124d269f1f224ae9520ff55c4ca,406625353,1764737042000,2025-12-03T04:44:02Z,0,2,7,5701.042
45,0x6e47f79eabea52bc4ba32fe056c390202ccddbf42686d4938f870e57a4d83342,406625413,1764737057000,2025-12-03T04:44:17Z,3,4,6,10474.532
46,0xdf873103f08ba8261cceb06eb9d90e0240deed22515f0c17298176fcaf16801f,406625486,1764737076000,2025-12-03T04:44:36Z,0,3,8,9296.21
47,0xbd17fe1fd3d2f1f3c3ea307b9ad5614b2f855db3ed5ad6b3237cfae771fab7d1,406625558,1764737094000,2025-12-03T04:44:54Z,1,4,11,8687.312
48,0x9386d73ea39cb7276180f8a34ad2db7033bc667708cabcce38579163ae159aa9,406625628,1764737111000,2025-12-03T04:45:11Z,1,3,10,2728.813
49,0x2d80d357d256dc20a89a8d5afc00b9324080eb4cfa5dfc9665040530bf57302e,406625682,1764737123000,2025-12-03T04:45:23Z,2,4,11,8662.154
50,0x80f36c42c505e2f6dc0e794672d9f9a7b9b812dc9fbcb1e720badaf8ba545a3a,406625752,1764737141000,2025-12-03T04:45:41Z,3,7,14,12586.076
51,0xf541b66946b5de9aa93421bdbdc502f966ff2b0797e9bdddc013bc444c8ced83,406654064,1764744205000,2025-12-03T06:43:25Z,2,4,9,12429.838
52,0xadfef3de40e862a1e52970bb3fa837f51092754ab7806391a4415cdf79299e37,406654151,1764744227000,2025-12-03T06:43:47Z,2,7,11,10414.521
53,0x5f5ab0379740a8334cb63e0a6979c899d2775fd3e72545a286ef29dfdd58e7dc,406654225,1764744246000,2025-12-03T06:44:06Z,0,7,13,11239.579
54,0xf0524bfe0f187bd5178654728f7e1dc9558b98ccf8ae469b3ce6bc6a35febdf3,406654300,1764744264000,2025-12-03T06:44:24Z,1,5,10,7845.099
55,0x1ea94d109c5a0d57c515f2d16da108ca46d8834e81481620e7a7e69917c5a481,406654368,1764744281000,2025-12-03T06:44:41Z,2,4,8,7995.891
56,0xa434239a5a842c1e6a3d8a58963a099a9db77e86decf591d534ac2d31df238ca,406661748,1764746123000,2025-12-03T07:15:23Z,0,4,9,8899.763
57,0x5adad6699bad1688a3933e659ad7f7fa6a197893a46581bf94b03f6a6330ae59,406661836,1764746145000,2025-12-03T07:15:45Z,1,3,8,9294.573
58,0x0bdd4e8964239fee7e71f07e6d28dd2a288605c335eed4c60e692fd2c4e4e538,406661919,1764746166000,2025-12-03T07:16:06Z,1,3,7,12240.755
59,0x78303e63dc0ac44cce5f2b01b51c60556405ca18771651220798578984e6fe60,406662010,1764746189000,2025-12-03T07:16:29Z,2,5,8,10526.731
60,0xdd4aea240e2fb06294e400abd04aef7c0b0269e00c135ca354310d71c03f04d4,406662145,1764746222000,2025-12-03T07:17:02Z,0,4,9,2752.785
61,0x992afffec820feaf99a84c9edc7b962a0962e4a21b3c264e57b96d074ffcf5f3,406662252,1764746249000,2025-12-03T07:17:29Z,2,3,8,8650.749
62,0x3ca3dfa4a12767b5fbe37f107f94445c91f6c6f41532f5f2a1ee22df36c589ff,406662333,1764746269000,2025-12-03T07:17:49Z,1,3,7,7673.288
63,0x8d0a8ed4534a08795e5ad7fa89c223c1558f720fcb348a45d211aebb5b508c73,406929940,1764813026000,2025-12-04T01:50:26Z,2,8,12,7837.504
64,0x4c14954589edd241649fe59bc0471112709f689749074f4129e25ba56b132d06,406930006,1764813043000,2025-12-04T01:50:43Z,0,6,12,5743.484
65,0xaea191fc4f773bb275ec11cdd74b8422fa391430cabb4757fabc424cc65c8f6c,406930076,1764813060000,2025-12-04T01:51:00Z,2,6,10,12918.916
66,0xb79e0e78ba598231bc98d8cef6d210bd6f7a0c8bd8b5c73a534f8f2712625d47,406930160,1764813081000,2025-12-04T01:51:21Z,0,4,7,3749.479
67,0x229a34a3df28f6a18d564f7a0533a0f3afba83e23b18e078386719f7cfb88841,406930216,1764813095000,2025-12-04T01:51:35Z,2,6,8,5042.529
68,0x4289cba5dc4696a61ad768e9b4872da75b9e8400cacf0d2416d4d019eb7285e6,406933527,1764813922000,2025-12-04T02:05:22Z,1,3,5,7550.709
69,0xd57d8d0e283af7d6bd737c3b37a156a4479a3c7734b9003eb992882746473303,406933605,1764813938000,2025-12-04T02:05:38Z,0,2,4,10493.498
70,0x34322a0fb9ac0ed3fbba151804daa39d40d49042c890fd2c9ea97e15d5decfcc,406933682,1764813958000,2025-12-04T02:05:58Z,1,3,5,10646.902
71,0x7b059adc38c9f2629d9ea9523be5601d945def74fbfdfbbe1adeccdf1a635336,406972717,1764823720000,2025-12-04T04:48:40Z,1,3,6,12896.888
72,0xb7ff61abe4215e339552847b3ccf47d7f80fd6875c57c108b0033c5eae097e42,406972805,1764823742000,2025-12-04T04:49:02Z,1,4,8,8878.028
73,0x2696849e171e00abe883fe46714922357c3cd50d199883d6f7e41e5f9072ea4e,406972889,1764823763000,2025-12-04T04:49:23Z,1,4,6,7506.564
74,0x4b57100bff136021da3cc6a7f810d17f026a3648feb0dc6a4b177b1b6da51b13,406972955,1764823779000,2025-12-04T04:49:39Z,0,3,6,11978.074
75,0x74a1e64f7c35dd26bb6f57559cb14e6a311778251a6947775e2b33c07da87872,406973034,1764823799000,2025-12-04T04:49:59Z,1,4,6,12221.507
76,0x41b6e54863e7fb59ce8f11dc4111cb5e4123d68112596017a7522010ffa79477,406984072,1764826673000,2025-12-04T05:37:53Z,0,1,1,10406.426
77,0x49cb489b6fec9572144b1fe3ae0d83a84f89a23ab1d628fc93d0dd4b33c9c345,407110315,1764858110000,2025-12-04T14:21:50Z,0,2,5,47321.021
78,0x9cf677d64ca280ecaf061a7b8449016d94b9459e8bd9b19cc111d1526c223d7c,407110744,1764858218000,2025-12-04T14:23:38Z,1,3,7,4677.178
79,0xf755686ccf6898fff72a32132e714c228b594ab79ff26cf704f564a2fbfeffaf,407110818,1764858236000,2025-12-04T14:23:56Z,1,3,9,5364.645
80,0x28ba3128aca946b973ea3e06ecff560870c070dcfa8e2931d63974cc9221e9f2,407111236,1764858341000,2025-12-04T14:25:41Z,0,6,19,4843.109
81,0x1b0918010acbeac4cd519cc3c10242a3d9f7f253a0459e3fe918e9476d4554d0,407111326,1764858364000,2025-12-04T14:26:04Z,1,4,16,18253.887
82,0x8fbab735670d40df4b814010a5a1bc73ddc50f903f9f33a9d7b455ceeddb8fb2,407304661,1764906569000,2025-12-05T03:49:29Z,0,1,5,5008.884
83,0x89463fa91d92ec778f7f3b8d689ffbe2f870ddd7976a518a7500120c9ca79262,407304723,1764906584000,2025-12-05T03:49:44Z,0,1,5,7880.173
84,0x518958efffac913715188d600167577443e571b54321f5f49060d844e0f9ff65,407304811,1764906606000,2025-12-05T03:50:06Z,1,3,5,6460.364
85,0xa1cfc0889227a3d26c01056cc866f61b79da35336f54c0d535537585b425e194,407304885,1764906625000,2025-12-05T03:50:25Z,1,4,5,7595.359
86,0x46e8256ed75763e321974598ce2cd521fcfadd4bd96bb8174840fa7cede6aa49,407304964,1764906644000,2025-12-05T03:50:44Z,0,4,5,4583.32
87,0xba7da399ac471c8b3cf12449d2051cbde80d9e556419a1f7d906384b7826678f,407305018,1764906658000,2025-12-05T03:50:58Z,1,2,3,8991.345
88,0x1c1ba7411b9687e8dbd4cfd8d9d4e596995e7522c5acc69cd9a41a5f6a05be55,407305092,1764906677000,2025-12-05T03:51:17Z,0,2,3,10665.775
89,0xf7899539dcc8d909da398744fbc076c1c475b7cb52aa6cbf7e1623c0b9de0043,407305188,1764906701000,2025-12-05T03:51:41Z,0,1,3,8776.73
90,0xa3b0e81f8dde55291c4fbd30887cdcd93b62a6d25494008387a5a502c0c92073,407305269,1764906721000,2025-12-05T03:52:01Z,1,1,2,3727.455
91,0xf36e827e60d9a7b3f1ea48a0430df09d15ec2dd934abd837ea4143b911c0aa99,407608084,1764982180000,2025-12-06T00:49:40Z,1,3,6,12735.357
92,0x0186f48ea76d7a65b7b94ece09026a6e34276884c6bd6119ed44938fd4c64d2b,407608174,1764982203000,2025-12-06T00:50:03Z,0,4,6,4523.944
93,0x6262341246e39a7b2f159146d9e9cb6ab38d2ad2579369f1109bd8f01804c606,407608227,1764982216000,2025-12-06T00:50:16Z,1,3,4,12705.321
94,0x094dcf18badd6f190550198582db7d101f60a9a8bad0d74e736c3aef00a0933c,407609390,1764982506000,2025-12-06T00:55:06Z,0,4,6,7519.847
95,0xaadbe65457c4af407e0143d1553a9908cb1a154efbebedb16afc277eacd3f1f3,407609454,1764982522000,2025-12-06T00:55:22Z,1,4,5,8526.763
96,0x210d6e0ce34b750c5c93543b125b06c0acd143ddc8880f22a513c55b3691fb98,408063079,1765095607000,2025-12-07T08:20:07Z,1,1,3,5715.943
97,0x24e0ea6ae2e4ca872a6ab94aeef7415b288d08e2c847c7394f0b02b3194ddedb,408063140,1765095622000,2025-12-07T08:20:22Z,1,1,4,6208.39
98,0x89d18972767443548ca3d90d365a1fc72562632b1f5379573c588de2b54f1541,408063224,1765095643000,2025-12-07T08:20:43Z,2,3,4,14491.877
99,0xce66d59d7beb70224290208598b250552bd0c7778ab40ef901bcd2f868658d21,408063319,1765095667000,2025-12-07T08:21:07Z,0,2,3,6992.022
100,0x16c6e0f94efd9da32c3293780705f4581f4b3ccfb13f752c94a32e8b77d74be7,408063410,1765095690000,2025-12-07T08:21:30Z,1,2,2,10221.979
101,0xe7c9b12bd37d16cb0b762501d3d701ae8e84aa1864d18742edf00d23683291b7,408354054,1765168165000,2025-12-08T04:29:25Z,0,1,3,7912.792
