tx_id,timestamp,t_soft_finality,t_poll_delay,t_consensus,t_total_latency,status
1,5.0000,0.1724,14.7716,1.0000,15.9440,Finalized
2,5.2000,0.2414,14.4796,1.0000,15.7210,Finalized
3,5.4000,0.2404,14.3050,1.0000,15.5454,Finalized
4,5.6000,0.2766,14.0608,1.0000,15.3374,Finalized
5,5.8000,0.2531,14.3723,1.0000,15.6255,Finalized
6,6.0000,0.2587,14.1693,1.0000,15.4281,Finalized
7,6.2000,0.2015,14.0194,1.0000,15.2209,Finalized
8,6.4000,0.2819,13.7685,1.0000,15.0504,Finalized
9,6.6000,0.2677,13.6062,1.0000,14.8739,Finalized
10,6.8000,0.1853,13.4601,1.0000,14.6454,Finalized
11,7.0000,0.2651,13.6572,1.0000,14.9223,Finalized
12,7.2000,0.2331,13.4715,1.0000,14.7045,Finalized
13,7.4000,0.2473,13.5174,1.0000,14.7647,Finalized
14,7.6000,0.2180,13.3422,1.0000,14.5603,Finalized
15,7.8000,0.1807,13.1728,1.0000,14.3535,Finalized
16,8.0000,0.2339,13.0594,1.0000,14.2933,Finalized
17,8.2000,0.2672,13.5163,1.0000,14.7835,Finalized
18,8.4000,0.2114,13.8930,1.0000,15.1044,Finalized
19,8.6000,0.2267,13.6566,1.0000,14.8833,Finalized
20,8.8000,0.2370,13.6775,1.0000,14.9146,Finalized
21,9.0000,0.3439,13.4768,1.0000,14.8208,Finalized
22,9.2000,0.3000,13.3422,1.0000,14.6422,Finalized
23,9.4000,0.2158,13.3583,1.0000,14.5742,Finalized
24,9.6000,0.1686,13.2041,1.0000,14.3727,Finalized
25,9.8000,0.2638,12.8880,1.0000,14.1519,Finalized
26,10.0000,0.2276,12.7272,1.0000,13.9548,Finalized
27,10.2000,0.2909,12.4660,1.0000,13.7569,Finalized
28,10.4000,0.2446,12.4832,1.0000,13.7278,Finalized
29,10.6000,0.2091,12.3055,1.0000,13.5147,Finalized
30,10.8000,0.1610,12.1438,1.0000,13.3049,Finalized
31,11.0000,0.3082,11.8821,1.0000,13.1903,Finalized
32,11.2000,0.2838,11.7368,1.0000,13.0206,Finalized
33,11.4000,0.3025,11.6400,1.0000,12.9425,Finalized
34,11.6000,0.1778,11.5760,1.0000,12.7538,Finalized
35,11.8000,0.2271,11.6152,1.0000,12.8423,Finalized
36,12.0000,0.2679,11.6419,1.0000,12.9098,Finalized
37,12.2000,0.2230,11.4993,1.0000,12.7224,Finalized
38,12.4000,0.3902,11.2656,1.0000,12.6558,Finalized
39,12.6000,0.1870,11.2754,1.0000,12.4624,Finalized
40,12.8000,0.2509,11.0957,1.0000,12.3466,Finalized
41,13.0000,0.3041,11.1341,1.0000,12.4382,Finalized
42,13.2000,0.2093,11.0223,1.0000,12.2315,Finalized
43,13.4000,0.3407,10.6700,1.0000,12.0107,Finalized
44,13.6000,0.2055,10.6347,1.0000,11.8401,Finalized
45,13.8000,0.1685,10.5408,1.0000,11.7093,Finalized
46,14.0000,0.2165,10.3603,1.0000,11.5769,Finalized
47,14.2000,0.2652,10.2692,1.0000,11.5344,Finalized
48,14.4000,0.3062,10.0158,1.0000,11.3220,Finalized
49,14.6000,0.2622,10.2344,1.0000,11.4965,Finalized
50,14.8000,0.2101,10.0668,1.0000,11.2770,Finalized
51,15.0000,0.2975,10.2381,1.0000,11.5356,Finalized
52,15.2000,0.1915,10.1222,1.0000,11.3138,Finalized
53,15.4000,0.2538,10.1868,1.0000,11.4406,Finalized
54,15.6000,0.2108,10.2371,1.0000,11.4479,Finalized
55,15.8000,0.1609,10.1599,1.0000,11.3208,Finalized
56,16.0000,0.1790,9.9498,1.0000,11.1288,Finalized
57,16.2000,0.2688,10.4250,1.0000,11.6938,Finalized
58,16.4000,0.1977,10.6655,1.0000,11.8632,Finalized
59,16.6000,0.3385,10.8996,1.0000,12.2381,Finalized
60,16.8000,0.2148,11.0858,1.0000,12.3006,Finalized
61,17.0000,0.2374,10.8583,1.0000,12.0958,Finalized
62,17.2000,0.1974,11.2234,1.0000,12.4208,Finalized
63,17.4000,0.3107,11.0366,1.0000,12.3473,Finalized
64,17.6000,0.2008,10.9257,1.0000,12.1265,Finalized
65,17.8000,0.2765,10.9200,1.0000,12.1965,Finalized
66,18.0000,0.2533,10.7636,1.0000,12.0169,Finalized
67,18.2000,0.3466,10.8219,1.0000,12.1685,Finalized
68,18.4000,0.2786,10.6922,1.0000,11.9708,Finalized
69,18.6000,0.2225,10.5460,1.0000,11.7685,Finalized
70,18.8000,0.2466,10.4053,1.0000,11.6519,Finalized
71,19.0000,0.2945,10.2144,1.0000,11.5089,Finalized
72,19.2000,0.2468,10.1810,1.0000,11.4278,Finalized
73,19.4000,0.2467,9.9760,1.0000,11.2227,Finalized
74,19.6000,0.3417,9.6861,1.0000,11.0278,Finalized
75,19.8000,0.2861,9.7644,1.0000,11.0506,Finalized
76,20.0000,0.2107,9.6166,1.0000,10.8274,Finalized
77,20.2000,0.1724,9.4500,1.0000,10.6224,Finalized
78,20.4000,0.2690,9.5701,1.0000,10.8391,Finalized
79,20.6000,0.1824,9.5128,1.0000,10.6952,Finalized
80,20.8000,0.1790,9.3544,1.0000,10.5334,Finalized
81,21.0000,0.2583,9.0766,1.0000,10.3348,Finalized
82,21.2000,0.2903,9.1049,1.0000,10.3952,Finalized
83,21.4000,0.2431,8.9592,1.0000,10.2023,Finalized
84,21.6000,0.2055,8.8850,1.0000,10.0905,Finalized
85,21.8000,0.2869,8.8449,1.0000,10.1318,Finalized
86,22.0000,0.2415,8.8772,1.0000,10.1187,Finalized
87,22.2000,0.1487,9.0566,1.0000,10.2053,Finalized
88,22.4000,0.3193,8.7096,1.0000,10.0290,Finalized
89,22.6000,0.2622,8.5475,1.0000,9.8096,Finalized
90,22.8000,0.2544,8.4627,1.0000,9.7171,Finalized
91,23.0000,0.2352,8.2936,1.0000,9.5288,Finalized
92,23.2000,0.2707,8.0623,1.0000,9.3329,Finalized
93,23.4000,0.2318,8.0616,1.0000,9.2934,Finalized
94,23.6000,0.1500,7.9962,1.0000,9.1462,Finalized
95,23.8000,0.2659,8.5343,1.0000,9.8002,Finalized
96,24.0000,0.2636,8.5230,1.0000,9.7866,Finalized
97,24.2000,0.2223,8.7768,1.0000,9.9991,Finalized
98,24.4000,0.3347,9.4129,1.0000,10.7476,Finalized
99,24.6000,0.2364,9.3192,1.0000,10.5556,Finalized
100,24.8000,0.1976,9.1647,1.0000,10.3623,Finalized
101,25.0000,0.2089,9.1798,1.0000,10.3887,Finalized
102,25.2000,0.2580,9.1645,1.0000,10.4225,Finalized
103,25.4000,0.2684,9.2184,1.0000,10.4868,Finalized
104,25.6000,0.2774,9.6146,1.0000,10.8920,Finalized
105,25.8000,0.2285,9.6156,1.0000,10.8441,Finalized
106,26.0000,0.2659,9.3771,1.0000,10.6430,Finalized
107,26.2000,0.2632,9.2053,1.0000,10.4686,Finalized
108,26.4000,0.1742,9.5389,1.0000,10.7131,Finalized
109,26.6000,0.2584,9.9952,1.0000,11.2536,Finalized
110,26.8000,0.2758,9.7625,1.0000,11.0384,Finalized
111,27.0000,0.2912,10.1097,1.0000,11.4009,Finalized
112,27.2000,0.2833,9.8958,1.0000,11.1792,Finalized
113,27.4000,0.2659,9.7276,1.0000,10.9935,Finalized
114,27.6000,0.1877,9.6434,1.0000,10.8311,Finalized
115,27.8000,0.2121,9.7120,1.0000,10.9241,Finalized
116,28.0000,0.3495,9.3956,1.0000,10.7451,Finalized
117,28.2000,0.2423,9.3501,1.0000,10.5924,Finalized
118,28.4000,0.2495,9.4505,1.0000,10.6999,Finalized
119,28.6000,0.2851,9.4674,1.0000,10.7526,Finalized
120,28.8000,0.2527,9.3195,1.0000,10.5722,Finalized
121,29.0000,0.2357,9.8709,1.0000,11.1066,Finalized
122,29.2000,0.3055,9.5666,1.0000,10.8721,Finalized
123,29.4000,0.2770,9.6384,1.0000,10.9153,Finalized
124,29.6000,0.2441,9.8106,1.0000,11.0547,Finalized
125,29.8000,0.2703,9.7255,1.0000,10.9958,Finalized
126,30.0000,0.2629,9.5696,1.0000,10.8325,Finalized
127,30.2000,0.2524,9.4432,1.0000,10.6956,Finalized
128,30.4000,0.4089,9.5716,1.0000,10.9804,Finalized
129,30.6000,0.1853,9.4862,1.0000,10.6715,Finalized
130,30.8000,0.2642,9.4251,1.0000,10.6893,Finalized
131,31.0000,0.2700,9.8312,1.0000,11.1013,Finalized
132,31.2000,0.2433,10.0506,1.0000,11.2940,Finalized
133,31.4000,0.2725,11.0565,1.0000,12.3290,Finalized
134,31.6000,0.2321,10.9488,1.0000,12.1808,Finalized
135,31.8000,0.1648,10.8337,1.0000,11.9985,Finalized
136,32.0000,0.2461,10.7071,1.0000,11.9532,Finalized
137,32.2000,0.2147,10.6285,1.0000,11.8432,Finalized
138,32.4000,0.1932,10.7189,1.0000,11.9121,Finalized
139,32.6000,0.1973,11.1327,1.0000,12.3300,Finalized
140,32.8000,0.2447,10.8792,1.0000,12.1239,Finalized
141,33.0000,0.2116,10.8785,1.0000,12.0901,Finalized
142,33.2000,0.1985,11.0855,1.0000,12.2841,Finalized
