tx_id,timestamp,dispute_period,l1_batch_delay,l1_relay_time,t_total_latency
1,5.0000,200.0000,23.8741,1.0010,224.8850
2,5.2000,200.0000,40.0887,0.9992,241.0979
3,5.4000,200.0000,30.3658,1.0211,231.3970
4,5.6000,200.0000,17.6445,1.0167,218.6713
5,5.8000,200.0000,20.5882,1.0278,221.6260
6,6.0000,200.0000,18.5533,0.9245,219.4878
7,6.2000,200.0000,33.0658,1.0921,234.1679
8,6.4000,200.0000,38.9699,1.0556,240.0355
9,6.6000,200.0000,46.5013,1.1206,247.6318
10,6.8000,200.0000,10.2073,1.0182,211.2355
11,7.0000,200.0000,36.1670,1.0818,237.2588
12,7.2000,200.0000,29.2160,1.0518,230.2779
13,7.4000,200.0000,36.3765,0.8391,237.2256
14,7.6000,200.0000,43.8897,1.2884,245.1880
15,7.8000,200.0000,8.0774,1.0929,209.1803
16,8.0000,200.0000,15.5045,1.0347,216.5491
17,8.2000,200.0000,11.3435,1.1840,212.5375
18,8.4000,200.0000,11.4166,1.1327,212.5593
19,8.6000,200.0000,19.7005,0.9636,220.6741
20,8.8000,200.0000,40.6466,0.9391,241.5957
21,9.0000,200.0000,9.2245,1.1395,210.3740
22,9.2000,200.0000,10.7273,0.9997,211.7370
23,9.4000,200.0000,30.5372,0.9557,231.5029
24,9.6000,200.0000,4.6170,1.0046,205.6317
25,9.8000,200.0000,55.8633,1.0229,256.8962
26,10.0000,200.0000,1.1466,1.0738,202.2304
27,10.2000,200.0000,8.8033,1.0276,209.8409
28,10.4000,200.0000,21.7562,1.0493,222.8155
29,10.6000,200.0000,10.6093,0.9388,211.5581
30,10.8000,200.0000,13.0997,1.1032,214.2128
31,11.0000,200.0000,14.8353,1.1217,215.9670
32,11.2000,200.0000,29.4913,1.0761,230.5774
33,11.4000,200.0000,8.0752,1.1252,209.2104
34,11.6000,200.0000,57.2983,0.8642,258.1725
35,11.8000,200.0000,34.0304,0.8718,234.9122
36,12.0000,200.0000,17.9709,1.1301,219.1110
37,12.2000,200.0000,22.7741,1.1256,223.9097
38,12.4000,200.0000,25.8618,0.8633,226.7351
39,12.6000,200.0000,46.3285,1.1681,247.5066
40,12.8000,200.0000,38.9686,1.0043,239.9830
41,13.0000,200.0000,18.3765,0.9659,219.3523
42,13.2000,200.0000,26.5278,0.8299,227.3678
43,13.4000,200.0000,5.5721,1.0440,206.6261
44,13.6000,200.0000,47.6674,0.8856,248.5630
45,13.8000,200.0000,15.1615,0.8772,216.0487
46,14.0000,200.0000,3.9218,1.0105,204.9423
47,14.2000,200.0000,30.4394,1.0256,231.4750
48,14.4000,200.0000,46.1953,0.8945,247.0998
49,14.6000,200.0000,32.9948,1.0596,234.0644
50,14.8000,200.0000,2.1218,0.9073,203.0392
51,15.0000,200.0000,41.1886,1.0134,242.2120
52,15.2000,200.0000,12.3049,0.7961,213.1110
53,15.4000,200.0000,15.5652,0.9876,216.5628
54,15.6000,200.0000,54.8921,1.0050,255.9071
55,15.8000,200.0000,42.7951,1.0318,243.8369
