"experiment_id","local_broadcast_iso","local_broadcast_time(ns)","amount_usdc","hl_block_number","hl_block_timestamp(ms)","hl_tx_hash","arb_tx_hash","arb_block_number","arb_block_timestamp_iso","arb_block_timestamp(ms)","arb_gas_used(wei)","arb_gas_price(wei)","amount_received_raw","clock_offset(ms)","latency(ms)","note"
"1","2025-11-27T17:23:35.066473","1764231814162472000","6.0","20311353","1764231842763.0","0xd0fe4c0ff6781195d28aa7e2556ab9a3d2e47dfc7ab760e0a45f09e93c3fffe8","0x7d12da97ad9bb3f39884c5a032126af26531e609e317bf7d72576a884353a4f1","404601819","2025-11-27T08:27:19+00:00","1764232039000","200880","10000000","5000000","-904","224837.528","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"2","2025-11-28T21:16:51.352483","1764332210200483000","6.0","20413422","1764332439594.0","","0xc7af38b1c222251be52717de99a47d5cfdab960d7354c206ff94b4e59704fa94","405003854","2025-11-28T12:20:31+00:00","1764332431000","99705","10226000","5000000","-1152","220799.517","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"3","2025-11-28T21:30:55.185156","1764333054162156000","6.0","20414280","1764333297860.0","","0x54415dd5d3326eba192ca803a8f49e2118ce192b932a3e4b39c05a06ae5b7f96","405007288","2025-11-28T12:34:48+00:00","1764333288000","150376","10655000","5000000","-1023","233837.844","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"4","2025-11-28T21:46:23.813076","1764333982120075000","6.0","20415224","1764334220250.0","","0xcaae1233e5ac95568d32b5b6f05b26f9655962ed31b800ac099f3233e46d18b4","405010988","2025-11-28T12:50:12+00:00","1764334212000","100027","10000000","5000000","-1693","229879.925","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"5","2025-11-28T21:59:26.573730","1764334765132730000","6.0","20416020","1764334991480.0","","0xba17224321e81936a0fedea97c56032fb469a0890a1afe560ab2ab9d37829700","405014076","2025-11-28T13:03:02+00:00","1764334982000","150568","10000000","5000000","-1441","216867.27","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"6","2025-11-28T22:08:19.941039","1764335299187039000","6.0","20416562","1764335545642.0","","0x173beb675dbf44de9059c60b61a26a37066205542ee8e9b022dd34a9c12ff6fa","405016287","2025-11-28T13:12:13+00:00","1764335533000","200767","12270000","5000000","-754","233812.961","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"7","2025-11-28T22:18:03.302865","1764335882113865000","6.0","20417156","1764336113677.0","","0xc6b5b9a7c09a06378f21bcdcaa29abd607c41a7f996bdc7a85a5aa6afa5e1b6f","405018576","2025-11-28T13:21:45+00:00","1764336105000","201072","10000000","5000000","-1189","222886.135","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"8","2025-11-29T20:35:35.526422","1764416133147422000","6.0","20498662","1764416356789.0","","0x7b669fb001830218239a87f500a60e888d3c16f672f7d0149539758c2cf8db21","405339670","2025-11-29T11:39:08+00:00","1764416348000","149897","10000000","5000000","-2379","214852.578","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"9","2025-11-29T21:05:52.557199","1764417949762199000","6.0","20500510","1764418194601.0","","0x1ef82de00022293edbce6d45b5b8b0ae379a2d7e8481643f10957a7d28b495f1","405347021","2025-11-29T12:09:45+00:00","1764418185000","200457","10000000","5000000","-2795","235237.801","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
"10","2025-11-29T21:23:49.213757","1764419026148757000","6.0","20501603","1764419260609.0","","0x781a9cd4af1303752e1191d6181b163f172db604f826b177acdad4549e8fe3c3","405351297","2025-11-29T12:27:32+00:00","1764419252000","99354","10000000","5000000","-3065","225851.243","ActionHash missing due to an earlier retrieval method; replaced by ExecutionHash after settlement. Metrics remain valid."
